"popularity","name"
"66","Megan Davies"
"73","James Blunt"
"70","Colbie Caillat"
"56","Jacob Whitesides"
"51","Shawn Hook"
"71","Years & Years"
"68","Gavin DeGraw"
"60","Parachute"
"61","Daniel Powter"
"57","McFly"
"66","Edward Sharpe & The Magnetic Zeros"
"85","Halsey"
"76","Hozier"
"79","Hailee Steinfeld"
"63","Cody Simpson"
"69","Owl City"
"60","Ronan Keating"
"55","Luke Sital-Singh"
"73","Jessie J"
"47","Lawson"
"77","Demi Lovato"
"59","Coleman Hell"
"79","Ellie Goulding"
"78","Meghan Trainor"
"57","Kelvin Jones"
"68","James Vincent McMorrow"
"63","Jessie Ware"
"70","James TW"
"79","JP Cooper"
"62","RY X"
"67","Matt Simons"
"72","Charli XCX"
"86","Alessia Cara"
"65","Plain White T's"
"73","5 Seconds of Summer"
"51","Causes"
"67","Rita Ora"
"71","Tom Odell"
"66","Damien Rice"
"64","Selena Gomez & The Scene"
"76","DNCE"
"67","Daughter"
"61","Jack & Jack"
"58","Lewis Watson"
"61","Rixton"
"72","Gavin James"
"61","Bridgit Mendler"
"73","Jess Glynne"
"70","George Ezra"
"100","Ed Sheeran"
"84","James Arthur"
"59","Five For Fighting"
"82","John Mayer"
"81","Tove Lo"
"62","Joshua Radin"
"76","James Bay"
"66","MIKA"
"61","Lucy Rose"
"69","Sara Bareilles"
"79","The Vamps"
"65","Paolo Nutini"
"61","Phillip Phillips"
"77","Labrinth"
"67","Ella Eyre"
"53","Lucy Spraggan"
"70","Tori Kelly"
"58","Walking On Cars"
"52","Rebecca Ferguson"
"86","ZAYN"
"75","The Script"
"80","Sam Smith"
"42","McBusted"
"61","Howie Day"
"61","Paloma Faith"
"58","Donavon Frankenreiter"
"83","Little Mix"
"74","Troye Sivan"
"65","The Wanted"
"61","Rob Thomas"
"73","Andy Grammer"
"66","Lifehouse"
"72","Ben Howard"
"65","Daughtry"
"54","Girls Aloud"
"65","Natasha Bedingfield"
"67","Alex & Sierra"
"67","Dido"
"58","Dermot Kennedy"
"52","Newton Faulkner"
"82","One Direction"
"69","London Grammar"
"75","Vance Joy"
"57","Maverick Sabre"
"85","Imagine Dragons"
"66","MKTO"
"68","Keane"
"53","Pixie Lott"
"59","Brett Dennen"
"61","Mat Kearney"
"56","Emma Bale"
"61","David Gray"
"73","Christina Perri"
"58","Matt Nathanson"
"76","Birdy"
"77","Mumford & Sons"
"62","Jennifer Hudson"
"59","Joshua Hyslop"
"86","Adele"
"71","Emeli Sandé"
"83","John Legend"
"49","Emblem3"
"73","The Fray"
"55","The Saturdays"
"68","Icona Pop"
"55","Fenne Lily"
"69","Snow Patrol"
"62","Roo Panes"
"70","Sleeping At Last"
"75","Jason Mraz"
"80","Fifth Harmony"
"74","Blackbear"
"51","Alexandra Burke"
"71","Kodaline"
"94","The Weeknd"
"60","Secondhand Serenade"
"75","Nick Jonas"
"72","Carly Rae Jepsen"
"71","Olly Murs"
"73","Kesha"
"88","Maroon 5"
"61","Jamie Lawson"
"67","Dawin"
"59","Foxes"
"50","Stu Larsen"
"87","Ariana Grande"
"77","Jasmine Thompson"
"56","Jack Savoretti"
"63","Jake Bugg"
"56","Dotan"
"66","James Morrison"
"60","Boys Like Girls"
"73","Kelly Clarkson"
"75","Train"
"69","Angus & Julia Stone"
"79","Snakehips"
"67","Pia Mia"
"62","Jesse McCartney"
"65","Ella Henderson"
"71","Astrid S"
"66","Gabrielle Aplin"
"74","Daya"
"57","Greyson Chance"
"68","Leona Lewis"
"80","Charlie Puth"
"63","Bear's Den"
"78","The Lumineers"
"62","Neon Trees"
"87","Selena Gomez"
"83","Zara Larsson"
"72","Conor Maynard"
"62","Cher Lloyd"
"68","Naughty Boy"
"59","Boy & Bear"
"50","Eric Hutchinson"
"63","Take That"
"65","Kina Grannis"
"59","Scouting For Girls"
"80","OneRepublic"
"85","Shawn Mendes"
"61","Big Time Rush"
"64","American Authors"
"72","Of Monsters and Men"
"50","JLS"
"61","Ron Pope"
"42","Heffron Drive"
"63","Jonas Brothers"
"65","Ingrid Michaelson"
"58","Noah And The Whale"
"75","Passenger"
"77","X Ambassadors"
"64","Hannah Montana"
"40","Union J"
"64","Nathan Sykes"
"67","JoJo"
"61","William Fitzsimmons"
"91","Justin Bieber"
"70","The Head and the Heart"
"61","Foy Vance"
"64","Benjamin Francis Leftwich"
"51","Cheryl"
"68","The Civil Wars"
"76","Jack Johnson"
"48","Will Young"
"71","Robbie Williams"
"73","Kiiara"
"56","Blind Pilot"
